name,description
ant,Ants are small insects that live in organized colonies. They have a segmented body and six legs. Ants are known for their strong cooperation in finding food and protecting their nests.
bear,"Bears are large mammals that are usually found in forested areas. They have strong claws, large canines, and thick fur. Bears tend to be omnivorous, eating plants, fish and meat."
bee,Bees are insects best known for producing honey. They have hairy bodies and two pairs of wings. Bees play an important role in pollinating plants and also form colonies with tasks divided within them.
beetle,Beetles are insects with hard bodies that are usually equipped with wings. There are many types of beetles with different shapes and colors. They have an important role in the ecosystem as organic waste eaters and pollinators.
buffalo,Buffaloes are large-bodied animals with long curved horns. They are often used as draft animals in some countries. Buffaloes are known for their physical strength and endurance.
butterfly,Butterflies are insects that have brightly colored wings and a distinctive body shape. Their initial stage of life is as a caterpillar or chrysalis before turning into a butterfly. Butterflies are important pollinators in the ecosystem.
camel,Camels are four-legged animals that live in desert areas. They have long necks and can withstand extreme weather. Camels are often used as transport animals and provide a source of food and materials for humans.
cat,"Cats are popular pets. They have small to medium-sized bodies, sharp claws, and smooth fur. Cats are independent animals, but can also be playful companions."
caterpillar,Caterpillars are the larvae of the tiger butterfly that have dense and attractive feathers. They are usually brightly colored as a warning to potential predators. Caterpillars can cause irritation if touched.
centipede,Millipedes are insects that have long bodies and many legs. They are often found under rocks or in damp areas. Millipedes feed on decaying organic matter and are not considered harmful to humans.
chameleon,"Chameleons are reptiles that have the ability to change their skin color according to their surroundings. They have long, sticky tongues to catch prey. Chameleons also have the ability to move slowly to camouflage themselves."
cheetah,"Cheetahs are extremely fast predatory animals and are known to be the fastest running animals on land. They have a slender body, patchy fur, and a long tail to maintain balance while running at high speeds."
chicken,Chickens are poultry animals that are often used as a source of meat and eggs. They have small wings and cannot fly far. Chickens usually live in groups and have various breeds with different physical characteristics.
cockroach,"Cockroaches are insects that are often found in humid areas such as homes and dirty places. They have a flattened body, wings that cover the body when not in use, and the ability to survive in harsh conditions."
cow,"Cows are important farm animals in the livestock industry. They have large bodies, four legs, and horns in some types. Cattle are herbivorous animals known for providing meat, milk, and other materials."
crab,Crabs are marine animals that have a body protected by a hard shell. They have a pair of strong claws that are used to protect themselves and search for food on the sea floor. Crabs have excellent flavor and are a popular dish in many cultures.
crocodile,"Crocodiles are large reptiles that live in freshwater. They have a body covered in scaly skin, a wide mouth with sharp teeth, and a long tail. Crocodiles are powerful predators and tend to hunt prey near water."
deer,"Deer are common mammals found in various habitats around the world. They have slender bodies, long legs, and antlers in male deer. Deer are herbivores and often live in herds."
dog,"Dogs are very popular pets and are close to humans. They come in a variety of breeds with different sizes, shapes and personalities. Dogs are social, intelligent, and are often used in a variety of jobs such as guards, helpers, and tracking animals."
dolphin,"Dolphins are marine mammals that live in warm waters. They have aerodynamic bodies, strong fins, and the ability to swim quickly. Dolphins are very intelligent and often interact with humans."
dragonfly,"Dragonflies are insects with transparent wings and long, slender bodies. They have agile flying skills and are often found around freshwater. Dragonflies are important pollinators in the ecosystem."
duck,"Ducks are waterfowl that have broad beaks and short legs. They are often found in lakes, rivers, and other watery areas. Ducks are migratory animals and have various species with different feather colors and patterns."
eagle,"Eagles are birds of prey that have large size, broad wings, and sharp eyesight. They are known for their high flying ability and ability to hunt prey in the air. Eagles are a symbol of strength and freedom."
echidna,Hedgehogs are mammals that have bodies covered in sharp spines. They have a long snout and short legs. Hedgehogs use their spines as a defense against predators. They are herbivores and are often found in forested areas.
eel,"Eels are fish that have long, slippery, non-muscular bodies. They are often found in fresh and brackish waters. Eels have the ability to burrow in mud and wet soil."
elephant,"Elephants are the largest mammals on land. They have large bodies, long trunks, and large tusks in males. Elephants are herbivores and live in complex social groups. They are highly intelligent and have a strong memory."
flamingo,Flamingos are birds with long necks and bright plumage. They are often found in swamps and shallow lakes. Flamingos are unique birds with the ability to stand on one leg and use their curved beak to filter food from the water.
fly,Flies are small insects that fly with transparent wings. They are often found around decaying food sources. Flies have a short life cycle and can be a pest in homes and farms
fox,Foxes are mammals known for their thick fur and long tails. They are well adapted and are often found in various habitats around the world. Foxes are clever predators and often hunt at night.
frog,"Frogs are amphibians that live in both water and land. They have smooth skin, claws on the toes, and good jumping ability. Frogs undergo metamorphosis from the small frog (toad) stage to an adult frog."
giraffe,Giraffes are mammals that have very long necks and tall legs. They are known for their height of several meters. Giraffes have long tongues and usually live in grassland or savanna areas.
goldfish,Goldfish are freshwater fish that are popular as ornamental fish. They have slender bodies with bright colors. Goldfish are often kept in aquariums and ponds.
goose,Swans are water birds that have long necks and strong wings. They are often found in lakes and rivers. Swans are known for their long migrations and form organized social groups.
gorilla,"Gorillas are the largest primate and are very similar to humans. They have large bodies, strong arms, and live in the African rainforest. Gorillas are herbivorous animals that live in groups led by dominant males."
grasshopper,Grasshoppers are insects that have the ability to jump long distances using their long hind legs. They are often found in grassy areas and can produce a unique sound by rubbing their wings.
hamster," Hamsters are rodents that are popular as pets. They have small bodies, short ears, and enlarged cheeks to store food. Hamsters are nocturnal and tend to be active at night."
harborseal,"Harbor seals are marine mammals that live in the cold waters of the northern hemisphere. They have slender bodies, strong front flippers, and the ability to swim quickly. Harbor seals are often found around beaches and ice."
hedgehog,Hedgehogs are small mammals that have bodies covered in sharp spines. They roll themselves into a ball when they feel threatened. Hedgehogs are nocturnal and live in a variety of habitats such as forests and grasslands.
hippopotamus,"Hippos are the largest aquatic mammals in the world. They have a large body, a wide mouth, and a raised nose. Hippos live in lakes and rivers in Africa and are known for spending most of their time in the water"
horse,"Horses are large mammals that have been domesticated by humans for thousands of years. They have strong bodies, long legs, and bushy tails. Horses are used for various human activities such as transportation, agriculture, and sports."
hyena,"Hyenas are mammals known for their distinctive laughing sound. They have slender bodies, large heads, and strong teeth. Hyenas are predatory animals that live in groups and usually hunt prey at night."
